product_name,price,manufacture_date,entry_date,expiry_date,stock,type,imgList,species,dosage_use,side_effect
"Vemedim Flucozol pet for dogs, cats, rabbits, pet birds, pet chickens, ringworm, respiratory fungus, 30ml bottle",81340,2022-03-03,2025-07-11,2027-01-26,178,accessory,"['https://salt.tikicdn.com/ts/product/fc/40/91/6e48e85f7664c69bfa00ffb50f043158.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/e82d5bc1711df198af0d2ed83d5f3491.png', 'https://salt.tikicdn.com/ts/product/da/81/71/94cac5656e1492bfdae3056b8582b08c.png']",cate,Take one dose every 12 hours.,Temporary changes in stool consistency.
"Prevent defecation, repel dogs and cats Fay Repell-400ml",99000,2023-07-01,2025-03-11,2027-01-13,115,accessory,"['https://salt.tikicdn.com/ts/product/71/3c/8c/88af8b40612269745e51d4260796c580.jpg', 'https://salt.tikicdn.com/ts/product/81/a6/d5/15590f49b97d220270e054928622833f.jpg', 'https://salt.tikicdn.com/ts/product/81/a5/39/ab45ccdaf9e4912c05ff06e1754f3e9c.jpg']",bird,Apply a thin layer to the affected area once daily.,Temporary loss of appetite may occur.
Scabies medicine.OXYD zinc button mushroom for dogs and cats,45000,2022-12-31,2025-12-19,2028-10-17,188,accessory,"['https://salt.tikicdn.com/ts/product/90/1e/b0/970bd3dee591efb504d161d385fda546.jpg', 'https://salt.tikicdn.com/ts/product/7e/77/15/e0ad126eec1028be318405f20f6dc5c0.jpg', 'https://salt.tikicdn.com/ts/product/a1/b7/54/18ac2f68b2dffcc5715c3874b8ec5d24.jpg']",cate,Massage into skin until fully absorbed.,Temporary loss of appetite may occur.
"Vemedim Domax injection solution to treat internal and external parasites for dogs and cats such as worms, scabies, lice, ticks, 5ml bottle",32340,2024-05-11,2025-01-28,2027-04-10,132,accessory,"['https://salt.tikicdn.com/ts/product/28/b9/2e/06a1bbc9dddd01d7e1b6b1b37890f339.jpg', 'https://salt.tikicdn.com/ts/product/a2/13/48/d8665d83789a11d52ae25efa6b797eb0.png', 'https://salt.tikicdn.com/ts/product/da/81/71/ae2f614535b68c2f4ff181fd882d84be.png']",rabbit,Use up to 3 times daily if needed.,Slight redness or irritation may appear.
Nexgard chewable tablets to treat fleas and ticks for dogs (1 tablet) - 10-25kg,188000,2022-02-22,2024-06-14,2027-04-24,158,accessory,"['https://salt.tikicdn.com/ts/product/5e/b8/81/ec2848dc2921791f6b987c9c0ecf3d55.png', 'https://salt.tikicdn.com/ts/product/61/4a/61/df64e5eeafcc674c53efe45807fb3d36.JPG', 'https://salt.tikicdn.com/ts/product/5b/b1/16/88d2e26d986f0481be7065c935428218.JPG']",dog,Use as directed by your veterinarian.,Temporary stomach discomfort has been reported.
Nexgard chewable tablets to treat fleas and ticks for dogs (1 tablet),132000,2022-05-05,2024-11-12,2026-02-02,97,accessory,"['https://salt.tikicdn.com/ts/product/f3/98/5b/4e7e8c38af45450983ed59e3392f1956.png', 'https://salt.tikicdn.com/ts/product/30/4b/e6/f4eab6b7d1d1fc627667294cc8bce035.png']",dog,Use as directed by your veterinarian.,Mild drowsiness may occur during initial use.
FUNGIKUR - Antifungal medicine for dogs and cats,99000,2022-04-04,2025-11-24,2026-07-23,93,accessory,"['https://salt.tikicdn.com/ts/product/eb/c1/17/8e9c349663243737371ea6858d00b7e5.jpg', 'https://salt.tikicdn.com/ts/product/f9/9f/42/8460ec0a787322ca49d5729171a64043.jpg', 'https://salt.tikicdn.com/ts/product/18/76/77/48289f296eb6fe9d7800aa532a4c1ea3.jpg']",cate,Use as directed by your veterinarian.,May cause increased thirst.
"Medicine for bathing or spraying to treat scabies, mites and lice on dogs Bayticol",100000,2023-01-16,2024-02-24,2027-04-15,199,accessory,"['https://salt.tikicdn.com/ts/product/50/84/5d/fa74736b999aefd93a5f870c82efbaf0.png', 'https://salt.tikicdn.com/ts/product/ea/95/bc/08c40f14f6e7098a42cbc94aca40a4b1.jpg']",bird,Take 30 minutes before meals.,Mild itching at the application site.
"Hantox 200 kills flies, mosquitoes, ants, cockroaches, ticks, and fleas (100ml bottle)",55000,2022-11-12,2024-09-22,2027-04-28,145,accessory,"['https://salt.tikicdn.com/ts/product/47/5b/2e/23e8c445dd3fd04ed7d95f747309925c.jpg', 'https://salt.tikicdn.com/ts/product/35/7d/ae/f7c0b8ab33c2f1bba2275b9dd47ffd76.jpg', 'https://salt.tikicdn.com/ts/product/0d/f7/46/fcfae62898a94be73ba1ce958e99c0ab.jpg']",rabbit,Apply gently before bedtime.,Temporary stomach discomfort has been reported.
"1 small box of Frontline Plus (3 tubes) to treat ticks, lice, and fleas (dogs from 20-40kg)",598000,2023-12-31,2025-02-12,2026-01-09,130,accessory,"['https://salt.tikicdn.com/ts/product/e4/50/a5/78bbbe5e96c681135ebf7289527149ef.jpg', 'https://salt.tikicdn.com/ts/product/fc/b6/8b/9bc6b2945c9875eefa0bf7b5c6ee85e1.jpg', 'https://salt.tikicdn.com/ts/product/5c/da/94/bac1c0c000570403d1c7aed6a527f453.jpg']",cate,Take 30 minutes before meals.,Temporary fatigue during early use.
"1 box of NexGard Spectra to treat worms, scabies, dermatitis, ticks and lice (dogs 15 - 30kg; box of 3 tablets)",1260000,2023-12-31,2024-09-22,2027-01-03,161,accessory,"['https://salt.tikicdn.com/ts/product/39/b8/3e/7024b327329de932ccdc18f703804e4e.jpg', 'https://salt.tikicdn.com/ts/product/48/b1/2f/212957b4c4e160b1a5b7d2062ab5936f.jpg', 'https://salt.tikicdn.com/ts/product/56/36/2c/356365653a97ab5edf5bbda47602d315.jpg']",cate,Take one dose every 12 hours.,Mild itching at the application site.
"1 NexGard Spectra tablet to treat scabies, dermatitis, worms, ticks and lice (dogs 15 - 30kg)",425000,2022-05-28,2025-10-11,2028-02-14,169,accessory,"['https://salt.tikicdn.com/ts/product/39/3b/63/a2a0e3b240384833a26d3cba4d3b9240.jpg', 'https://salt.tikicdn.com/ts/product/48/b1/2f/48a3cda8322ede15c825e1e5b0940c15.jpg']",bird,Take 30 minutes before meals.,Minor skin peeling after prolonged use.
"1 NexGard Spectra tablet to treat worms, ticks, scabies, dermatitis (dogs 7.5 - 15kg)",325000,2024-03-10,2025-01-30,2027-11-30,89,accessory,"['https://salt.tikicdn.com/ts/product/68/e2/29/68c92291482ccc739681ff579220341d.jpg', 'https://salt.tikicdn.com/ts/product/48/b1/2f/2ea9f7b32d087284a3e589bb12d83c12.jpg', 'https://salt.tikicdn.com/ts/product/c0/bf/f3/6c515c93960ca390cb7d8ace55a8334b.jpg']",dog,Take 30 minutes before meals.,Rare cases of mild headache have been noted.
"1 box of NexGard to treat scabies, dermatitis, and lice (dogs from 10 - 25kg, 6 chewable tablets)",1029000,2024-12-22,2024-03-18,2028-06-27,114,accessory,"['https://salt.tikicdn.com/ts/product/71/fc/c0/a3a9b273a02ce39496a37438fb16a4bf.png', 'https://salt.tikicdn.com/ts/product/c6/f5/fa/e7d16827c79ad9d2f1f0378f22431948.png', 'https://salt.tikicdn.com/ts/product/6c/e7/c0/e81b2d69a709e1d38d483732ab1d7d39.jpg']",bird,Spray directly onto the surface and let dry.,Mild drowsiness may occur during initial use.
"1 NexGard tablet to treat scabies, ticks, and fleas (dogs from 10 - 25kg)",179000,2024-09-18,2024-09-20,2026-03-12,129,accessory,"['https://salt.tikicdn.com/ts/product/c6/f5/fa/b63e27f668314e8d441a01ad41b356d9.png', 'https://salt.tikicdn.com/ts/product/71/fc/c0/58a80f9d6538042b9d3e6e8dc2b6d256.png', 'https://salt.tikicdn.com/ts/product/6c/e7/c0/e987fed2ac666d8b2410e3cd5cda622d.jpg']",rabbit,Add one scoop to drinking water daily.,May cause light dizziness when used in excess.
"Fenben 10% (Fenbendazole) Special treatment for worms and tapeworms for dogs and cats, can be used for dogs, small cats and pregnant dogs and cats, 120ml bottle, Vemedim product",67620,2024-06-15,2025-08-13,2027-03-19,109,accessory,"['https://salt.tikicdn.com/ts/product/81/15/d9/033d3aaff95411acd4fa15f548f78f93.jpg', 'https://salt.tikicdn.com/ts/product/a7/ea/b9/2f70df9ae4581c4229afcbbc29755f0f.jpg', 'https://salt.tikicdn.com/ts/product/95/f4/d6/d37614e0b48a59e4d6431e9978dce3de.jpg']",cate,"Apply externally only, avoid contact with eyes.",Occasional sneezing or nasal irritation.
"ANTI DERM Topical Topical Medicine to Treat Dermatitis, Scabies, and Mites for Dogs and Cats - Net Weight 40g - Safe and Effective Under the Brand VEMEDIM – Xudapet – AD01",75000,2024-04-07,2025-10-07,2026-07-29,56,accessory,"['https://salt.tikicdn.com/ts/product/d3/0b/18/f82878cb2f83fec9d486976bd226f68a.jpg', 'https://salt.tikicdn.com/ts/product/10/d1/c4/d1cf3695a561445f0b0b906a41b9b12d.jpg', 'https://salt.tikicdn.com/ts/product/1d/06/51/34a3cdf60a116b68cb88c09783d24d54.jpg']",cate,Take twice a day with a full glass of water.,Occasional nausea in sensitive individuals.
2.5ml bottle of flea treatment for cats and dogs for pets,19600,2023-04-14,2024-12-26,2026-08-26,58,accessory,"['https://salt.tikicdn.com/ts/product/45/c4/27/f6896a5cf9583cb939abaff18c107b92.jpg', 'https://salt.tikicdn.com/ts/product/1e/a9/f1/404eaf421c7efc12479cb41254d2b2f3.jpg', 'https://salt.tikicdn.com/ts/product/27/85/96/fc1a1179281a859f7112ae0293f7cf14.jpg']",cate,"Administer 2 tablets per day, morning and evening.",Temporary changes in stool consistency.
Hantox spray for dogs and cats to kill fleas and ticks,23200,2024-08-08,2025-06-20,2028-05-01,145,accessory,['https://salt.tikicdn.com/ts/product/1b/20/8b/9084fcd94cf2523f65bbcd7bcfd3946d.jpg'],cate,Take one dose every 12 hours.,Temporary changes in stool consistency.
Prevent defecation FAY Repell 200ml Repels dogs and cats,85000,2024-11-04,2024-03-10,2026-07-07,136,accessory,['https://salt.tikicdn.com/ts/product/68/bc/3e/654ec7be7abf41d09ee49b3379f86c1f.jpg'],dog,Use up to 3 times daily if needed.,Temporary loss of appetite may occur.
Genta drop eye drops to treat dog and cat eye inflammation 10ml,20000,2022-10-25,2025-03-21,2027-09-28,116,accessory,"['https://salt.tikicdn.com/ts/product/37/6c/49/27852db1f3c7971300483d303086b016.jpg', 'https://salt.tikicdn.com/ts/product/83/7d/2d/b04897e0f400373f0316d02baa2f0608.jpg', 'https://salt.tikicdn.com/ts/product/6f/3d/b8/ace47eb2333074f63ad6aa246cf4e09e.jpg']",rabbit,Take twice a day with a full glass of water.,Slight redness or irritation may appear.
"ASI Ecotraz 250 Spray for Bathing, Ticks, Lice, Fleas, Dogs, Cats (10ml)",40000,2023-07-02,2025-04-29,2028-08-22,61,accessory,"['https://salt.tikicdn.com/media/catalog/product/3/1/31-001.u2409.d20171024.t172630.886714.jpg', 'https://salt.tikicdn.com/media/catalog/product/3/1/31-002.u2409.d20171024.t172630.939123.jpg', 'https://salt.tikicdn.com/media/catalog/product/3/1/31-003.u2409.d20171024.t172630.985032.jpg']",bird,Use regularly for best results.,Temporary fatigue during early use.
Bio Gentadrop Dog and Cat Inflammation Eye Drops (10ml),10200,2022-08-28,2025-11-29,2027-05-24,112,accessory,['https://salt.tikicdn.com/media/catalog/product/b/i/bio-gentadrop-10ml--2-.u2409.d20171024.t161026.251711.jpg'],dog,Mix 5 ml with food once daily.,Temporary fatigue during early use.
"Hanvet Hantox Green Flea, Tick, Scabies, Dog and Cat Bath Oil (200ml)",42000,2024-09-03,2025-08-16,2026-09-13,169,accessory,"['https://salt.tikicdn.com/media/catalog/product/h/a/hantox-shampoo-xanh-200m--1-.u2409.d20171011.t095807.572584.jpg', 'https://salt.tikicdn.com/media/catalog/product/h/a/hantox-shampoo-xanh-200m--2-.u2409.d20171011.t095807.613900.jpg']",rabbit,"Administer 2 tablets per day, morning and evening.",Rare cases of mild headache have been noted.
"Hanvet Hantox Spray for Dogs, Cats, and Fleas (300ml)",38700,2022-06-06,2025-07-08,2028-02-04,113,accessory,['https://salt.tikicdn.com/ts/product/da/7a/f4/0b05ac721183ec69272560c45179d307.jpg'],cate,Use regularly for best results.,Mild drowsiness may occur during initial use.
Bio Rantel Dewormer Tablets for Dogs and Cats,8000,2023-10-27,2025-02-08,2026-10-21,195,accessory,"['https://salt.tikicdn.com/ts/product/9d/36/eb/027562d7cffa6c68c828d6f159ababf7.png', 'https://salt.tikicdn.com/ts/product/29/f9/96/a8b3d58af94af4d950cd6f53e6d23071.png']",cate,Take 30 minutes before meals.,Temporary stomach discomfort has been reported.
"Bio Scour Powder Controls Enteritis, Diarrhea, Vomiting in Dogs and Cats",8000,2024-11-20,2024-03-04,2027-06-22,53,accessory,"['https://salt.tikicdn.com/ts/product/dc/84/e5/0ed162150a89ee07029d41080346a727.png', 'https://salt.tikicdn.com/ts/product/11/4c/4c/15bf449b4536c8806498d39a7a50f8c5.png', 'https://salt.tikicdn.com/ts/product/4e/f7/47/991ec783d7239d131fcda07c45c5a610.png']",cate,Mix 5 ml with food once daily.,May cause increased thirst.
Bio Doxy Tabs – Respiratory Infection Support Pills for Dogs and Cats,70000,2022-02-06,2025-05-10,2027-10-18,110,accessory,"['https://salt.tikicdn.com/ts/product/e1/74/00/a57293250bfa590b686d90e2faecd45b.jpg', 'https://salt.tikicdn.com/ts/product/61/fd/62/740701bc4bf6b9e2d1ef7a104ad3fa70.jpg']",dog,Take one dose every 12 hours.,Temporary fatigue during early use.
"[1 Tablet] BRAVECTO chewable tablets |Kills Demodex Scabies, Mites, and Fleas for Dogs",395000,2024-11-11,2025-01-03,2026-01-20,165,accessory,"['https://salt.tikicdn.com/ts/product/d3/cf/e4/03a213301b5187c3b7d6117ba49e585c.jpg', 'https://salt.tikicdn.com/ts/product/57/a3/30/9ecb432b023b7ea306766c6d47d529ff.jpg']",bird,Use as directed by your veterinarian.,Temporary changes in stool consistency.
"HEARTGARD Worm Removal Chewable Tablets - Heartworm, Roundworm, Hookworm Prevention for Dogs",79000,2022-12-01,2024-11-11,2027-12-07,59,accessory,"['https://salt.tikicdn.com/ts/product/66/a7/57/cae0f82fb980fd8bbf597321125b5d91.jpg', 'https://salt.tikicdn.com/ts/product/5e/93/ba/e6c16bd9e085360c10a2d13de43e7cad.jpg', 'https://salt.tikicdn.com/ts/product/33/69/c5/a6848e06ac605ce32a2afde4ac6765d7.jpg']",cate,Spray directly onto the surface and let dry.,May cause slight dryness of the skin.
Vemedim Cestopet Tablets to Prevent and Eliminate Tapeworms for Dogs and Cats - Box of 10 tablets,19000,2022-01-05,2024-07-27,2026-03-16,171,accessory,"['https://salt.tikicdn.com/ts/product/a8/3a/48/dbc19d5d79d7c487bc0ad0d1fd57fa71.jpg', 'https://salt.tikicdn.com/ts/product/be/dd/b8/436f2b87065837fb598055bf997ff8f7.jpg']",dog,Add one scoop to drinking water daily.,Mild digestive upset in some cases.
"Vemedim Micona Spray Folliculitis, Dermatitis, Ringworm Spray for Dogs and Cats - 100ml Bottle",89000,2022-07-23,2025-02-09,2027-09-17,182,accessory,"['https://salt.tikicdn.com/ts/product/48/a3/56/74d20ec17b4a193dab2314475871c755.jpg', 'https://salt.tikicdn.com/ts/product/9b/11/ef/841a7b2d6bb43ad794884131fe63b552.jpg', 'https://salt.tikicdn.com/ts/product/2f/22/51/6b2e94e4e404d7e764872531cab5719d.jpg']",cate,Use up to 3 times daily if needed.,Mild digestive upset in some cases.
Small Ticks and Fleas Frontline Plus for Cats Over 2 Months,159000,2023-05-10,2025-01-27,2028-06-30,179,accessory,"['https://salt.tikicdn.com/ts/product/82/36/f7/556a326df0f3c98c8c975ef245ada2c5.png', 'https://salt.tikicdn.com/ts/product/dc/38/38/b021f9f5735d5defb161d7462cbbeb97.png', 'https://salt.tikicdn.com/ts/product/80/c3/24/30e8b3df82c2288cdab56e24d4d9f968.png']",rabbit,Use as directed by your veterinarian.,Rare cases of mild headache have been noted.
"Nexgard Spectra - Prevents and Kills Ticks, Fleas, Demodex Internal and External Parasites for Dogs",253123,2024-05-02,2025-05-03,2028-06-13,77,accessory,"['https://salt.tikicdn.com/ts/product/58/40/02/18405d257959f163038512881be7b8d4.jpg', 'https://salt.tikicdn.com/ts/product/44/24/8b/33a92f51bf8c29e4417015cb16a3c295.jpg', 'https://salt.tikicdn.com/ts/product/5b/0c/2b/b598a7bbb26b868de5092ebf28298aea.jpg']",rabbit,Use 1 capsule daily after meals.,Mild digestive upset in some cases.
"BOSSEN - URI Shield (cats) Bladder Protection Support for Cats, helps maintain urinary health, 1 box of 12 tablets",70000,2024-11-23,2025-02-15,2026-01-01,182,accessory,"['https://salt.tikicdn.com/ts/product/2b/68/10/be6777bf6c07d249b0bb519ee5bbfd94.jpg', 'https://salt.tikicdn.com/ts/product/d4/1e/62/44b8378e942ad33f7e152167153f950e.jpg', 'https://salt.tikicdn.com/ts/product/a1/03/b9/669689e11d83bb1e1a43fab71bd14ea3.jpg']",cate,Use 1 capsule daily after meals.,Mild itching at the application site.
Ear Drops to Reduce External Otitis for Dogs and Cats 10ml - Vemedim Ear drops,39000,2024-01-16,2024-01-28,2027-08-06,50,accessory,"['https://salt.tikicdn.com/ts/product/e9/b0/9b/67ac7c997f454370348d18a665c8a719.png', 'https://salt.tikicdn.com/ts/product/59/f8/00/0b083a3c94d3763de6e9516fc8b520ac.png', 'https://salt.tikicdn.com/ts/product/91/67/d3/960331d2ea165f405abe554a92a356a0.png']",rabbit,Add one scoop to drinking water daily.,Slight redness or irritation may appear.
"[3g bottle] Amox Plus Pet Mixed Powder for Respiratory and Urinary Support for Dogs, Cats, Pet Birds",59000,2023-03-28,2024-07-20,2026-04-19,127,accessory,"['https://salt.tikicdn.com/ts/product/ce/ed/7b/f468240023b282e05ca24e99e1628470.jpg', 'https://salt.tikicdn.com/ts/product/87/f8/85/716feb792ffb0c1a66cd57755f7fb7f3.jpg', 'https://salt.tikicdn.com/ts/product/6a/08/19/284197838a0cfeb2516e93d43970faed.jpg']",bird,Take 30 minutes before meals.,Temporary fatigue during early use.
NUVITA GEL Nutritional Gel for Dogs and Cats - 120g,75000,2023-11-22,2025-05-31,2027-07-19,175,accessory,"['https://salt.tikicdn.com/ts/product/a8/64/a1/4b489ce62d717a8387a979c0bb57c389.jpg', 'https://salt.tikicdn.com/ts/product/a1/de/29/aef649ff4490405ae63dae77394d667e.jpg', 'https://salt.tikicdn.com/ts/product/5f/f3/69/6051b36b50da147f9f8af6491d90cf57.jpg']",cate,"Administer 2 tablets per day, morning and evening.",Temporary stomach discomfort has been reported.
"Vime Deworm syrup for deworming dogs and cats (Vemedim, 20ml bottle)",65000,2024-07-28,2025-06-18,2028-01-10,193,accessory,"['https://salt.tikicdn.com/ts/product/ef/44/59/85d6dd2000f8dabde83de3169c9020ad.png', 'https://salt.tikicdn.com/ts/product/e6/4c/a0/9d38c309fa97713a80e52bf366d4ceda.jpg', 'https://salt.tikicdn.com/ts/product/97/72/e6/01b39703794e62ff2adf25914121b263.jpg']",bird,Take 30 minutes before meals.,Mild itching at the application site.
"[40G] Five-Kill Fly I - Specialized in killing house flies, buffalo flies, green flies, fruit flies, gray flies, sewer flies, sand flies,...",39000,2022-05-21,2024-06-19,2027-02-28,174,accessory,"['https://salt.tikicdn.com/ts/product/1e/24/8b/c19e3aef6a40c82f7464649fb3ba6d6a.png', 'https://salt.tikicdn.com/ts/product/2b/5f/2b/a5bc76d737507bb409cf32c9fbaabc3d.png', 'https://salt.tikicdn.com/ts/product/7c/37/11/2d2d7aabbcd14514c4666cc6bf1ff03d.png']",bird,Use 1 capsule daily after meals.,Occasional sneezing or nasal irritation.
