product_name,price,manufacture_date,entry_date,expiry_date,stock,type,imgList,species,weight,nutrition_description
Whiskas Junior Kitten Food 2-12 MonthsSea Fish Flavor 450g/Bag,54000,2023-01-16,2024-02-05,2028-08-21,147,food,"['https://salt.tikicdn.com/ts/product/19/76/43/919c9b466b44b9c01bf5aee694fc0797.png', 'https://salt.tikicdn.com/ts/product/bd/9a/25/ed3040817f7dd206683bb83730d64f74.jpg', 'https://salt.tikicdn.com/ts/product/3a/7b/c1/94a8f5e851a40228b2bec1a557382f00.jpg']",rabbit,8.5,WHISKAS Thức ăn dạng hạt cho mèo con từ 2-12 tháng tuổi• Công thức dinh dưỡng cân bằng: Thức ăn cho mèo con WHISKAS được chế biến một cách chuyên nghiệp để cung cấp một bữa ăn toàn diện và cân bằng 1...
Whiskas Adult 1+ Years Cat Food Grilled Saba Flavor 1.2kg/Bag,125000,2023-07-05,2025-10-02,2027-08-04,161,food,"['https://salt.tikicdn.com/ts/product/41/8c/ac/4c41fb963a6c7a88510a3fe309d5db63.png', 'https://salt.tikicdn.com/ts/product/bc/a7/51/6db99629d43dc17f95770d147d498ce9.jpg', 'https://salt.tikicdn.com/ts/product/a0/cc/01/f1de36fbed17be5912bf07649b3c1a6a.jpg']",dog,7.5,"WHISKAS Thức ăn dạng hạt cho mèo trưởng thành từ 1 tuổi• Dinh dưỡng toàn diện và cân bằng: Chăm sóc sức khỏe của mèo cưng với thức ăn cho mèo WHISKAS, cung cấp dinh dưỡng cân bằng và toàn diện 100% đ..."
"[Combo of 12 Packs] WHISKAS 1+ years Cat Food Tuna, White Fish Flavor 80g/Pack",156000,2024-04-25,2024-10-04,2028-06-08,170,food,"['https://salt.tikicdn.com/ts/product/6b/eb/ca/ddd3cd4de3dfa26dceb1cd258edd805c.png', 'https://salt.tikicdn.com/ts/product/79/4e/18/5b424662e50db2f837f6f03c0ef0bc4f.jpg', 'https://salt.tikicdn.com/ts/product/68/d1/c6/4d74778ce96dcceb1247c07ac9928481.jpg']",cate,2.0,"Gói Thức Ăn Ướt Whiskas Cho Mèo Trưởng Thành Từ 1 Tuổi Mèo từ 1-6 tuổi cần có nhiều thời gian vui chơi và chế độ ăn uống cân bằng để luôn giữ được vóc dáng cân đối, khỏe mạnh. Mèo là loài ăn thịt tron..."
[Combo of 12 Packs] WHISKAS 1+ years Cat Food Saba Fish Flavor 80g/Pack,153000,2022-03-22,2025-02-26,2026-03-07,82,food,"['https://salt.tikicdn.com/ts/product/76/bd/41/ee6fc47bc5e07d579364ac40ebb48f9e.png', 'https://salt.tikicdn.com/ts/product/b4/7f/40/d2bd9a99e646ba3612d3f752a7f6cb80.jpg', 'https://salt.tikicdn.com/ts/product/a0/18/d2/f9add5d98c87b06d467a3b2cbaa9cb9e.jpg']",dog,7.0,"Gói Thức Ăn Ướt Whiskas Cho Mèo Trưởng Thành Từ 1 Tuổi Mèo từ 1-6 tuổi cần có nhiều thời gian vui chơi và chế độ ăn uống cân bằng để luôn giữ được vóc dáng cân đối, khỏe mạnh. Mèo là loài ăn thịt tron..."
[Combo of 12 Packs] WHISKAS Junior Kitten Food 2-12 months Mackerel Flavor 80g/Pack,146000,2023-07-10,2024-11-18,2026-06-19,169,food,"['https://salt.tikicdn.com/ts/product/7d/e2/17/5d8b3c0b39c9acc993c1daddf8614e59.png', 'https://salt.tikicdn.com/ts/product/98/ef/97/2166b1809866d9a0010194aa6a328d5a.jpg', 'https://salt.tikicdn.com/ts/product/59/f5/99/02e2aa4c29779b2d3cfe224f6bb62ded.jpg']",bird,2.5,"Khi mới sinh, nguồn dinh dưỡng của mèo con được lấy từ sữa mèo mẹ. Sữa mèo mẹ cung cấp DHA và colostrum (có chứa các yếu tố thúc đẩy tăng trưởng và kháng thể) cho mèo con phát triển khỏe mạnh. Khi mèo..."
[Combo of 12 Packs] WHISKAS 1+ years Cat Food Tuna Flavor 80g/Pack,156000,2024-08-10,2025-09-10,2026-03-16,177,food,"['https://salt.tikicdn.com/ts/product/7e/95/f9/17a8859e383af1c0b40c37e2e20bcbf5.png', 'https://salt.tikicdn.com/ts/product/e3/df/4f/177c2ddff0dc67130d9f0aa9156cb568.jpg', 'https://salt.tikicdn.com/ts/product/41/db/91/81105d0b9202a3ef8d930e14cd5cf532.jpg']",cate,9.5,"Gói Thức Ăn Ướt Whiskas Cho Mèo Trưởng Thành Từ 1 Tuổi Mèo từ 1-6 tuổi cần có nhiều thời gian vui chơi và chế độ ăn uống cân bằng để luôn giữ được vóc dáng cân đối, khỏe mạnh. Mèo là loài ăn thịt tron..."
"[Combo of 12 Packs] WHISKAS 1+ years Cat Food Tuna, Chicken Flavor 80g/Pack",150000,2024-07-26,2024-11-27,2027-12-31,67,food,"['https://salt.tikicdn.com/ts/product/f7/a6/5d/8eac593a091aa302552cc7cacb7af50c.png', 'https://salt.tikicdn.com/ts/product/30/d5/78/5b6a21b5d45cdb8d1007535b3558c686.jpg', 'https://salt.tikicdn.com/ts/product/03/77/98/4ed97af74be260ea3d65c7978f9c06d9.jpg']",rabbit,4.5,"Gói Thức Ăn Ướt Whiskas Cho Mèo Trưởng Thành Từ 1 Tuổi Mèo từ 1-6 tuổi cần có nhiều thời gian vui chơi và chế độ ăn uống cân bằng để luôn giữ được vóc dáng cân đối, khỏe mạnh. Mèo là loài ăn thịt tron..."
Whiskas Adult 1+ Years Cat Food Tuna Flavor 3kg/Bag,275000,2022-04-05,2025-06-12,2027-11-05,80,food,"['https://salt.tikicdn.com/ts/product/d3/de/5e/a03defed0f7244df7db5360bd211a83f.png', 'https://salt.tikicdn.com/ts/product/60/b4/31/91c617edccc99dd79b4b631073998352.jpg', 'https://salt.tikicdn.com/ts/product/b8/40/c0/8d6c06845164189b7d83265ff5d3e10e.jpg']",cate,3.5,"WHISKAS Thức ăn dạng hạt cho mèo trưởng thành từ 1 tuổi• Dinh dưỡng toàn diện và cân bằng: Chăm sóc sức khỏe của mèo cưng với thức ăn cho mèo WHISKAS, cung cấp dinh dưỡng cân bằng và toàn diện 100% đ..."
[Combo of 12 Packs] WHISKAS 1+ years Cat Food Mackerel Flavor 80g/Pack,151000,2022-03-11,2024-09-21,2026-06-23,151,food,"['https://salt.tikicdn.com/ts/product/57/cf/a7/741377c74305c7be850eeec8f4dc5500.png', 'https://salt.tikicdn.com/ts/product/cd/21/1e/be32365717c0458a749c009267da53cf.jpg', 'https://salt.tikicdn.com/ts/product/e6/6a/bd/dd2c82b428adb280aa3925c9ab8afcf2.jpg']",bird,2.0,"Gói Thức Ăn Ướt Whiskas Cho Mèo Trưởng Thành Từ 1 Tuổi Mèo từ 1-6 tuổi cần có nhiều thời gian vui chơi và chế độ ăn uống cân bằng để luôn giữ được vóc dáng cân đối, khỏe mạnh. Mèo là loài ăn thịt tron..."
Dog food to support bones and joints - DR.HEALMEDIX MOBILITY 1.5KG,480000,2024-12-29,2024-04-03,2027-06-28,124,food,['https://salt.tikicdn.com/ts/product/af/87/30/48686bd41172bbcef2874492a8c74877.jpg'],cate,2.5,"Lượng calo: 3,500 kcal/kgHiệu năng đặc biệt:Phục hồi sau phẫu thuật khớp xươngHỗ trợ suy giảm chức năng khớp do béo phìKhông được khuyến khích dùng cho chó con, chó đang mang thai và cho con búNên sử ..."
Dog Dermatitis Support Food Dr.Healmedix ULTRA HYPOALLERGENIC K-1000 PLUS 1.5kg,500000,2022-05-12,2024-03-24,2027-07-28,109,food,"['https://salt.tikicdn.com/ts/product/cb/9a/a4/7d5e3631fa4354c6e419b03803e69179.png', 'https://salt.tikicdn.com/ts/product/86/30/c9/6fc780b0d18e8aaba2f470a4aae0ebf8.jpg']",cate,1.5,"GÓI LỖI DO VẬN CHUYỂN ĐA PHẦN BỊ RÁCH LỖ NHỎ TÚI TRONG QUÁ TRÌNH VẬN CHUYỂN , CHẤT LƯỢNG CỦA THỨC ĂN KHÔNG THAY ĐỔI (90%)Thức ăn Hỗ trợ trị viêm da chó Dr.Healmedix ULTRA HYPOALLERGENIC K-1000 PLUSXu..."
DRY CAT FOOD FOR ALL AGES - WONDER CAT 1KG,120000,2024-04-05,2025-11-21,2026-05-03,63,food,['https://salt.tikicdn.com/ts/product/86/cf/57/ae0f461190cf6910494a4a92f8fb0777.png'],dog,8.0,"Thức ăn hạt Wonder Cats 1kg cho mèo mọi lứa tuổi được sản xuất dựa trên công nghệ hiện đại nhất của Hàn Quốc, mang đến những đặc điểm nổi trội cho sức khỏe của mèo.- 3 lớp phủ gia vị đậm đà thơm ngon..."
"Dried meat, Synthetic Topping for dogs and cats, Supports weight gain diet for bosses",10000,2022-11-22,2025-02-03,2026-03-02,136,food,['https://salt.tikicdn.com/ts/product/db/33/3d/afb5ebc15cc979c297c8496ab59bd51c.jpg'],cate,6.5,"Thịt sấy khô, Topping Tổng Hợp cho chó mèo , Hỗ trợ chế độ ăn uống tăng cân cho bossChế độ GrainFree không hẳn là xa lạ với tất cả chúng ta nữa rồi nhỉ, GrainFree là chế độ ăn giống ngoài tự nhiên nh..."
"GREENABC Koi Fish Food - Koi Fish - 40% protein content helps increase size, color, good digestion, increase resistance - Box of 950g",209000,2024-03-01,2025-03-03,2028-12-26,138,food,['https://salt.tikicdn.com/ts/product/a7/7b/56/b7d0277d93780804ecf59d75d02a554b.png'],cate,4.5,GREENABC - THỨC ĂN CÁ KOI - HÀM LƯỢNG  PROTEIN > 40%GREENABC là thức ăn cao cấp dành cho CÁ KOI. Đặc biệt sản phẩm GREENABC được sản xuất theo phương pháp Áp dụng công nghệ PROTEIN bền vững từ bộ...
"GREENABC Water Turtle Reptile Food - Provides protein, calcium, lipid to help increase size, hard shell - Boxes of 50g and 230g",135000,2022-08-11,2024-07-07,2026-11-04,106,food,"['https://salt.tikicdn.com/ts/product/19/67/ce/5f9772c60d8b70ef5b0b76525cc17724.png', 'https://salt.tikicdn.com/ts/product/65/bf/bf/7a601c9cfba23d6d414958fee4bb19b4.png', 'https://salt.tikicdn.com/ts/product/c7/0b/0c/e3c8bd44410de6e31516283e3c9ae002.png']",bird,10.0,GREENABC - THỨC ĂN RÙA NƯỚC - HÀM LƯỢNG PROTEIN > 37%GREENABC là thức ăn bổ dưỡng dành cho RÙA NƯỚC - TURTLE. Đặc biệt sản phẩm GREENABC được sản xuất theo phương pháp Áp dụng công nghệ PROTEIN B...
Viettin Mart White Bo Bo Seeds 500G,41500,2023-06-07,2024-02-14,2027-01-19,85,food,"['https://salt.tikicdn.com/ts/product/a6/4d/3a/ce60c75e6848c31098ce052565a483ab.jpg', 'https://salt.tikicdn.com/ts/product/54/2d/d8/720399f3091294913b291ad374444125.jpg', 'https://salt.tikicdn.com/ts/product/a6/89/1d/82180f3123f07e004a73ae5275723177.jpg']",cate,3.0,Hạt Bo Bo Trắng Viettin Mart 500GTHÔNG TIN SẢN PHẨMTên sản phẩm: 500g Hạt bo bo trắng - Viettin martThành Phần:hạt bo boThương hiệu: ViettinMartKhối lượng tịnh / Thể tích thực: 500gQuy cách đóng...
"ORGO Bones, Teeth Clean and Delicious Chewing Bones for Dogs, 90g Package",29000,2024-02-11,2024-10-06,2028-01-10,167,food,"['https://salt.tikicdn.com/ts/product/93/4a/e4/8b1711cdf9d00ffa70b8eb9b3f8d5319.jpg', 'https://salt.tikicdn.com/ts/product/ff/d7/e6/5401aaa4345797b7a0bf02222af6e545.jpg', 'https://salt.tikicdn.com/ts/product/f6/49/43/25fb88f17ae88619889331563d1da6ec.jpg']",rabbit,0.5,"Xương Orgo gói 90g gặm sạch răng, bổ xung năng lượng, canxi cho chó.Xương có 4 hương vị: Giao mix vị ngẫu nhiênOrgo vị thịt bò: Chứa các thành phần thịt bò tự nhiên bổ sung dinh dưỡng và năng lượng,..."
Adult Roasted Chicken Flavor Combo 5 packs 400gr/package,99000,2024-05-11,2025-06-04,2028-05-29,117,food,"['https://salt.tikicdn.com/ts/product/5b/29/88/a75c48e379840ddd906c0382029c8092.jpg', 'https://salt.tikicdn.com/ts/product/2b/34/18/e2275289c3a006cc7aa760039becfa05.jpg', 'https://salt.tikicdn.com/ts/product/c9/11/46/8db60b934bf9417aa217e4a8665233b4.jpg']",cate,2.5,THỨC ĂN CHO CHÓ Ganador adult Dạng hạt Vị gà nướng Túi 400g Thương hiệu từ PhápDành cho tất cả các giống Chó trưởng thành từ 12 tháng tuổi trở lênGanador là nhãn hiệu thức ăn cho chó cưng được sản x...
"Smartheart Adult large dog food 1.5kg beef flavor, cheap dog food grain",100000,2022-12-09,2025-07-25,2026-03-11,73,food,"['https://salt.tikicdn.com/ts/product/0f/24/7e/713db08f20aa6a22de7fdcfd4788eb3e.jpg', 'https://salt.tikicdn.com/ts/product/3b/88/7b/243bf6500e749bde1a31596ba8e22652.jpg', 'https://salt.tikicdn.com/ts/product/8c/db/c2/887d824b30d0b9364652ce6ece0f8973.jpg']",dog,6.0,"- Thức ăn hạt cho chó Smartheart có thành phần dinh dưỡng cân bằng và đầy đủ để mang lại một sức khỏe và tình trạng tốt cho cún cưng.- Hạt khô cho chó Smartheart có thành phần dinh dưỡng tốt, được bổ..."
Temptations Chicken Flavor Cat Treats 75g/bag,49000,2023-01-27,2024-05-13,2026-03-07,106,food,"['https://salt.tikicdn.com/ts/product/dc/ee/c5/65f9e50edd72389f4f3ad6e6083695cb.png', 'https://salt.tikicdn.com/ts/product/67/85/f3/3e9d172383bc5b1b3ff86e4959520e02.jpg', 'https://salt.tikicdn.com/ts/product/e4/6c/b6/0c7f2aeab8662c4641ecd60dfe05d7d0.png']",dog,4.0,"Thức Ăn Cho Mèo Temptations Hương Gà 75g sẽ giúp thúc đẩy vị giác của mèo, làm chúng thấy ngon miệng và thích ăn.Với 100% dinh dưỡng cho mèo trưởng thành, đây là dòng bánh thưởng ít calo, có vỏ ngoà..."
Smartheart Puppy Dog Food 400gr,28000,2022-03-08,2024-03-03,2028-06-26,115,food,['https://salt.tikicdn.com/ts/product/0c/05/99/68350b4a9d0fd6ad398bfecb11723a1e.jpg'],dog,0.5,"Để thú cưng như chú cún yêu của bạn cứng cáp và khoẻ mạnh bạn cần phải đảm bảo cho nó ăn, uống đầy đủ chất dinh dưỡng. Nhất là với thú cưng dưới 1 năm tuổi, bạn cần đặc biệt chú ý tới thành phần dinh ..."
Whiskas Sea Fish Flavor Cat Treats in Bags (7kg),645000,2022-04-26,2025-05-21,2026-12-06,70,food,"['https://salt.tikicdn.com/ts/product/90/85/73/a101a96afebb1afe2ae5e94cf33bf4d0.png', 'https://salt.tikicdn.com/ts/product/d6/57/a4/38c7878b4def0db4df19fbc38b53994a.jpg', 'https://salt.tikicdn.com/ts/product/86/e7/fd/306077c743e5cc925b22b36998cf6bce.jpg']",bird,3.0,"Đồ Ăn Cho Mèo Vị Cá Biển Whiskas Dạng Bao (7kg)  được lựa chọn từ những thành phần thịt, cá tươi để chế biến, sảm phẩm giàu protein, các vitamin và khoáng chất thiết yếu đồng thời không có chất bảo q..."
Pedigree Beef and Vegetable Flavor Dog Treats in Bags (10kg),572000,2024-05-19,2024-02-07,2026-02-05,128,food,"['https://salt.tikicdn.com/ts/product/a6/12/9e/ba554a134370f63d307bcfbd8bfac825.png', 'https://salt.tikicdn.com/ts/product/3d/4f/b8/806af328f090928ed94a46d1d68f0f71.jpg', 'https://salt.tikicdn.com/ts/product/6c/f1/c0/9d47278634e38dc8cd30b87a994b8895.jpg']",dog,9.5,Đồ Ăn Cho Chó Vị Thịt Bò Và Các Loại Rau Củ Pedigree Dạng Bao (10kg)  được chế biến từ các loại rau củ quả nhiều chất dinh dưỡng cùng với vị thịt bò thơm ngon sẽ đem lại sự thích thú cho chó cưng nhà...
Pedigree Beef and Vegetable Flavor Dog Food (3Kg),206000,2024-02-15,2024-05-07,2027-07-27,137,food,"['https://salt.tikicdn.com/ts/product/d2/ac/1d/d8f42ca0e7e3db494dfdb7376ffa7d05.png', 'https://salt.tikicdn.com/ts/product/2a/eb/30/ab457c1ec71633d77c626c83ad7dd58f.png', 'https://salt.tikicdn.com/ts/product/9f/a9/6d/987624a0678b7324cf87b93d657fcada.jpg']",rabbit,6.5,Đồ Ăn Cho Chó Vị Thịt Bò Và Rau Củ Pedigree (3Kg) được chế biến từ các loại rau củ quả nhiều chất dinh dưỡng cùng với vị thịt bò thơm ngon sẽ đem lại sự thích thú cho chó cưng nhà bạn. Sản phẩm giúp ...
Whiskas Sea Fish Flavor Cat Food (3Kg),275000,2022-10-16,2025-10-29,2028-06-30,105,food,"['https://salt.tikicdn.com/ts/product/80/7d/72/a5a65d259232e0b41148e20ed1858e99.png', 'https://salt.tikicdn.com/ts/product/5b/49/b2/8e538901543392c51de6ff0cc501e4a2.jpg']",cate,5.0,"Thức Ăn Mèo Vị Cá Biển Whiskas (3Kg) dành cho mèo con, mèo con sơ sinh từ 1-12 tháng, mèo mẹ mang thai, cho con bú. Sản phẩm là điểm khởi đầu cơ sở của một cuộc sống khỏe mạnh và hạnh phúc cho những ..."
Classic Pets Adult Dog Food Roast Beef Flavor (2kg),124500,2023-04-30,2024-06-17,2028-07-31,96,food,"['https://salt.tikicdn.com/ts/product/72/a8/db/ad8819434c0f30b8262b2d4e8e6188d7.jpg', 'https://salt.tikicdn.com/ts/product/ff/3c/e9/6003adac8b808a41e9bce2774738e801.jpg']",cate,9.5,Đồ Ăn Cho Chó Trưởng Thành Classic Pets Hương Vị Thịt Bò Nướng (2kg)Đồ Ăn Cho Chó Trưởng Thành Classic Pets Hương Vị Thịt Bò Nướng (2kg) đem lại cho thú cưng của bạn những bữa ăn thơm ngon và đầy đủ ...
Whiskas Big Cat Food Sea Fish Flavor 480g Bag,56000,2022-01-07,2024-12-16,2026-09-06,191,food,"['https://salt.tikicdn.com/ts/product/12/c9/1d/9b6f7b38ff55dd78efd1509d39fa5b22.png', 'https://salt.tikicdn.com/ts/product/64/43/28/759213e5adf4f7722ba5d1ee06d809b0.jpg', 'https://salt.tikicdn.com/ts/product/71/d9/94/a7b3af8eca7084bc357f5712cef0af73.jpg']",dog,8.0,Đồ Ăn Cho Mèo Lớn Whiskas Vị Cá Ngừ Túi 480g dành cho mèo được chế biến từ các chất dinh dưỡng tối ưu và được các chuyên gia vật nuôi trên khắp thế giới công nhận là sản phẩm dinh dưỡng tốt nhất và kh...
Whiskas Kitten Food with Ocean Fish and Milk Flavor 1.1 Kg,130000,2022-10-04,2025-10-30,2026-01-12,197,food,"['https://salt.tikicdn.com/ts/product/e3/11/d8/a9593f27ced38bd20494cdf813473887.png', 'https://salt.tikicdn.com/media/catalog/producttmp/ef/68/fe/9e82088c7d29c9e7bfbe4d4e47ec41a6.jpg', 'https://salt.tikicdn.com/ts/product/1a/b4/92/325aa751c94a11fdc4cdd6b8690e4807.jpg']",rabbit,1.0,"Đồ Ăn Cho Mèo Con Whiskas Vị Cá Biển Và Sữa Dạng Túi 1.1 kg dành cho mèo con, mèo con sơ sinh từ 1-12 tháng, mèo mẹ mang thai, cho con bú. Sản phẩm là điểm khởi đầu cơ sở của một cuộc sống khỏe mạnh v..."
Pedigree Dentastix Medium Dogs Dental Care Biscuits (98g),38000,2022-12-07,2024-07-11,2027-07-23,186,food,"['https://salt.tikicdn.com/ts/product/cc/72/b6/e65fe8fdcae34cebd54f75d34454a6d4.png', 'https://salt.tikicdn.com/ts/product/76/04/78/6d2562c5df7cc69454e663dea2180588.png', 'https://salt.tikicdn.com/media/catalog/producttmp/9c/4d/e0/be37f93ace567bc3b2f04a5b560ed113.jpg']",cate,9.5,Bánh Xương Chăm Sóc Răng Dành Cho Chó Trung Pedigree (98g) là dòng sản phẩm quen thuộc mà các cô cậu chủ thường sử dụng để chăm sóc cho hàm răng cún cưng của mình. Sản phẩm được nghiên cứu tại trung t...
Pedigree Tooth Care Bones for Small Dogs - 56g,33100,2023-02-24,2025-03-26,2027-11-01,196,food,"['https://salt.tikicdn.com/ts/product/29/2b/32/314ae105221bfb33cfc898a69814b896.png', 'https://salt.tikicdn.com/ts/product/41/f9/2f/3bf3d7a3ad0ad3ad67e665e19eb0df21.png', 'https://salt.tikicdn.com/ts/product/5f/d7/42/2d37f2f09aff3b948eddaef02ee6561a.jpg']",rabbit,1.0,Bánh Xương Chăm Sóc Răng Dành Cho Chó Nhỏ Pedigree-56g là dòng sản phẩm quen thuộc của các chủ nhà Việt Nam khi chọn sử dụng như một phần của thói quen chăm sóc răng miệng hàng ngày cho chó. Sản phẩm ...
5KG HELLO CAT SEEDS FOR CATS,440000,2024-09-04,2024-04-14,2028-09-20,95,food,"['https://salt.tikicdn.com/ts/product/b4/18/b9/9b59139b558f76005c51907018d5a62f.jpg', 'https://salt.tikicdn.com/ts/product/2b/f8/4e/7b57079adb227651863f698ec509f704.jpg']",rabbit,9.5, THỨC ĂN CHO MÈO HELLO CAT SALMON 5KG   Quy cách đóng gói: Bao xá 5kgDành cho mèo trên 12 tháng tuổi  Thành phần dinh dưỡng:- Protein thô: 30.0% (tối thiểu);- Chất béo thô: 9.0% (tối thiểu);- ...
(CHEAP PRICE) NEEKA PATE FOR CATS 85G CAN,16500,2024-04-15,2024-07-30,2026-04-08,159,food,"['https://salt.tikicdn.com/ts/product/7f/22/93/8717a55af05350685b49253e386d848a.jpg', 'https://salt.tikicdn.com/ts/product/26/de/c1/03efbaed7df0e627fa95e8682d3371ae.jpg', 'https://salt.tikicdn.com/ts/product/7f/fb/b4/8ff665902949bbc691c83b27cada6d41.jpg']",bird,2.0,"Pate Neeka Dinh Dưỡng Cao, Thơm Ngon, Nhiều Vị Dành Cho Mèo Mọi Lứa Tuổi 85g  Thông Tin Sản Phẩm Của Pate Neeka Cho Mèo: - Tên sản phẩm: Pate Neeka Cho Mèo - Thương hiệu: Neeka - Nơi sản xuất: Trung Q..."
ZUPREEM SEEDS (USA) ARE RICH IN NUTRITION FOR BIRDS AND PARATS,24999,2023-10-04,2025-05-15,2026-10-31,171,food,['https://salt.tikicdn.com/ts/product/58/fa/53/4e312eeb396b24aa9fe79c833f4d4f63.jpg'],rabbit,3.0,"HẠT ZUPREEM (MỸ) GIÀU CHẤT DINH DƯỠNG DÀNH CHO CHIM, VẸT..."
[ 1KG ] TODAY'S DINNER grain food for dogs of all ages,100000,2022-06-19,2024-12-27,2026-08-19,56,food,"['https://salt.tikicdn.com/ts/product/73/73/5f/80291b0bba4a7b8c2f91ab9e5db83025.png', 'https://salt.tikicdn.com/ts/product/ee/fa/9d/40558930279e9830e7d3f268fb3e07fa.jpg', 'https://salt.tikicdn.com/ts/product/52/d0/e8/5a6d522e183aeb300106eee7de0cd87a.jpg']",cate,2.5,THÔNG TIN SẢN PHẨMLoại sản phẩm: Thức ăn hạt khô dành cho chóTên sản phẩm: Today's dinner All Stages DogNhà sản xuất: Jeil Feed CorporationDạng sản phẩm: Dạng viên hình tròn Màu sắc hạt: Màu nâuÁ...
